,Code_INSEE,Nom de la commune,Mois,Nombre de feux
1288,83111,Sainte-Anastasie-sur-Issole,8,3.0
1300,83112,Saint-Cyr-sur-Mer,8,18.0
1312,83113,Saint-Julien,8,8.0
1324,83114,Saint-Martin,8,4.0
1327,83114,Saint-Martin-de-PalliÇùres,8,1.0
1334,83115,Sainte-Maxime,8,16.0
1346,83116,Saint-Maximin-la-Sainte-Baume,8,30.0
1358,83117,Saint-Paul-en-ForÇ¦t,8,14.0
1369,83118,Saint-RaphaÇ®l,8,56.0
1380,83119,Saint-Tropez,8,24.0
1392,83120,Saint-Zacharie,8,5.0
1404,83121,Salernes,8,23.0
1411,83122,Salles-sur-Verdon (Les),8,3.0
1419,83123,Sanary-sur-Mer,8,31.0
1431,83124,Seillans,8,22.0
1442,83125,Seillons-Source-d'Argens,8,10.0
1447,83126,La Seyne-sur-Mer,8,3.0
1456,83126,Seyne-sur-Mer (La),8,59.0
1468,83127,Signes,8,29.0
1480,83128,Sillans-la-Cascade,8,14.0
1492,83129,Six-Fours-les-Plages,8,30.0
1502,83130,SolliÇùs-Pont,8,9.0
1514,83131,SolliÇùs-Toucas,8,11.0
1525,83132,SolliÇùs-Ville,8,7.0
1535,83133,Tanneron,8,24.0
1547,83134,Taradeau,8,27.0
1558,83135,Tavernes,8,9.0
1565,83136,Le Thoronet,8,1.0
1574,83136,Thoronet (Le),8,16.0
1585,83137,Toulon,8,58.0
1597,83138,Tourrettes,8,27.0
1609,83139,Tourtour,8,11.0
1621,83140,Tourves,8,45.0
1633,83141,Trans-en-Provence,8,22.0
1643,83142,Trigance,8,2.0
1652,83143,Le Val,8,3.0
1660,83143,Val (Le),8,21.0
1667,83144,La Valette-du-Var,8,1.0
1677,83144,Valette-du-Var (La),8,19.0
1688,83145,Varages,8,10.0
1697,83146,La VerdiÇùre,8,1.0
1706,83146,VerdiÇùre (La),8,15.0
1717,83147,VÇ¸rignon,8,8.0
1728,83148,Vidauban,8,35.0
1740,83149,Villecroze,8,6.0
1751,83150,Vinon-sur-Verdon,8,12.0
1763,83151,Vins-sur-Caramy,8,10.0
1774,83152,Rayol-Canadel-sur-Mer,8,4.0
1785,83153,Saint-Mandrier-sur-Mer,8,14.0
1796,83154,Saint-Antonin-du-Var,8,8.0
1804,83999,Commune inconnue,8,3.0
