,Code_INSEE,Nom de la commune,Mois,Nombre de feux
894,83077,MÇ¸ounes-lÇùs-Montrieux,7,10.0
906,83078,Moissac-Bellevue,7,2.0
917,83079,MÇïle (La),7,12.0
929,83080,Mons,7,14.0
941,83081,Montauroux,7,34.0
952,83082,Montferrat,7,4.0
963,83083,Montfort-sur-Argens,7,12.0
972,83084,Montmeyan,7,3.0
977,83085,La Motte,7,1.0
985,83085,Motte (La),7,19.0
994,83086,Le Muy,7,2.0
1003,83086,Muy (Le),7,38.0
1014,83087,Nans-les-Pins,7,20.0
1025,83088,NÇ¸oules,7,7.0
1036,83089,OlliÇùres,7,16.0
1047,83090,Ollioules,7,25.0
1059,83091,Pierrefeu-du-Var,7,20.0
1070,83092,Pignans,7,10.0
1079,83093,Plan-d'Aups-Sainte-Baume,7,2.0
1088,83094,Le Plan-de-la-Tour,7,1.0
1096,83094,Plan-de-la-Tour,7,19.0
1108,83095,PontevÇùs,7,11.0
1119,83096,Pourcieux,7,4.0
1131,83097,PourriÇùres,7,30.0
1138,83098,Le Pradet,7,1.0
1145,83098,Pradet (Le),7,15.0
1156,83099,Puget-sur-Argens,7,33.0
1167,83100,Puget-Ville,7,15.0
1179,83101,Ramatuelle,7,75.0
1190,83102,RÇ¸gusse,7,2.0
1200,83103,Revest-les-Eaux (Le),7,17.0
1212,83104,Rians,7,23.0
1218,83105,Riboux,7,1.0
1227,83106,Rocbaron,7,16.0
1239,83107,Roquebrune-sur-Argens,7,46.0
1253,83108,Roquebrussanne (La),7,14.0
1265,83109,Roque-Esclapon (La),7,2.0
1275,83110,Rougiers,7,10.0
1287,83111,Sainte-Anastasie-sur-Issole,7,6.0
1299,83112,Saint-Cyr-sur-Mer,7,29.0
1311,83113,Saint-Julien,7,14.0
1323,83114,Saint-Martin,7,1.0
1333,83115,Sainte-Maxime,7,15.0
1345,83116,Saint-Maximin-la-Sainte-Baume,7,35.0
1357,83117,Saint-Paul-en-ForÇ¦t,7,7.0
1368,83118,Saint-RaphaÇ®l,7,75.0
1379,83119,Saint-Tropez,7,23.0
1391,83120,Saint-Zacharie,7,14.0
1403,83121,Salernes,7,26.0
1418,83123,Sanary-sur-Mer,7,20.0
1430,83124,Seillans,7,17.0
1441,83125,Seillons-Source-d'Argens,7,6.0
1446,83126,La Seyne-sur-Mer,7,3.0
1455,83126,Seyne-sur-Mer (La),7,76.0
1467,83127,Signes,7,34.0
1479,83128,Sillans-la-Cascade,7,18.0
1491,83129,Six-Fours-les-Plages,7,35.0
1501,83130,SolliÇùs-Pont,7,6.0
1513,83131,SolliÇùs-Toucas,7,13.0
1524,83132,SolliÇùs-Ville,7,9.0
1534,83133,Tanneron,7,32.0
1546,83134,Taradeau,7,12.0
1557,83135,Tavernes,7,3.0
1564,83136,Le Thoronet,7,2.0
1573,83136,Thoronet (Le),7,9.0
1584,83137,Toulon,7,76.0
1596,83138,Tourrettes,7,18.0
1608,83139,Tourtour,7,9.0
1620,83140,Tourves,7,47.0
1632,83141,Trans-en-Provence,7,14.0
1642,83142,Trigance,7,2.0
1659,83143,Val (Le),7,13.0
1676,83144,Valette-du-Var (La),7,21.0
1687,83145,Varages,7,13.0
1696,83146,La VerdiÇùre,7,1.0
1705,83146,VerdiÇùre (La),7,3.0
1716,83147,VÇ¸rignon,7,6.0
1727,83148,Vidauban,7,28.0
1739,83149,Villecroze,7,14.0
1750,83150,Vinon-sur-Verdon,7,20.0
1762,83151,Vins-sur-Caramy,7,2.0
1773,83152,Rayol-Canadel-sur-Mer,7,5.0
1784,83153,Saint-Mandrier-sur-Mer,7,27.0
1795,83154,Saint-Antonin-du-Var,7,3.0
1803,83999,Commune inconnue,7,3.0
